From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C)
2010-01-01 00:00:00,2010-01-01 01:00:00,,,68.69,132.78,201.47,,3.2,1.21,5.76,54.66,135.43,13.12,27.44,18.92,11.7,84.33,0.37,51.97,100.76,957.94,0.2,,
2010-01-01 01:00:00,2010-01-01 02:00:00,,,12.42,65.33,77.75,,1.03,,1.87,32.16,53.57,5.64,10.21,3.36,11.5,83.7,0.42,79.32,114.72,956.52,0.2,,
2010-01-01 02:00:00,2010-01-01 03:00:00,,,7.48,40.04,47.51,,4.92,,1.76,16.63,20.68,0.33,1.04,,11.1,85.17,0.46,91.75,123.42,952.03,0.17,,
2010-01-01 03:00:00,2010-01-01 04:00:00,,,4.22,27.98,32.2,,5.59,,1.35,12.44,12.21,0.89,0.42,0.32,10.47,86.72,0.22,64.99,104.67,962.79,0.17,,
2010-01-01 04:00:00,2010-01-01 05:00:00,,,12.91,32.46,45.37,,5.57,,2.0,11.61,16.54,,0.77,,10.04,86.97,0.19,47.37,80.95,969.16,0.2,,
2010-01-01 05:00:00,2010-01-01 06:00:00,,,23.52,42.91,66.43,,4.95,1.53,2.67,16.47,15.69,,0.39,0.67,9.51,88.15,0.25,47.91,69.74,967.64,0.2,,
2010-01-01 06:00:00,2010-01-01 07:00:00,,,8.96,33.28,42.24,,2.21,2.15,2.1,13.63,14.26,,0.46,,9.27,87.94,0.25,94.78,70.01,968.35,0.17,,
2010-01-01 07:00:00,2010-01-01 08:00:00,,,12.16,33.53,45.7,,2.49,2.97,4.15,15.38,14.24,,1.47,0.28,9.22,88.1,0.29,65.44,94.0,964.12,0.17,,
2010-01-01 08:00:00,2010-01-01 09:00:00,,,26.27,43.6,69.87,,3.4,1.69,3.31,16.08,13.49,,0.54,0.47,10.66,83.26,0.61,58.27,170.73,964.59,0.2,,
2010-01-01 09:00:00,2010-01-01 10:00:00,,,34.29,87.36,121.65,,3.66,1.72,3.22,18.64,16.58,0.84,0.86,0.93,12.81,76.05,0.87,55.2,265.18,965.28,0.21,,
2010-01-01 10:00:00,2010-01-01 11:00:00,,,22.21,124.42,146.63,,1.77,2.13,5.26,13.91,15.6,,,1.12,14.79,68.82,1.34,80.47,266.61,968.12,0.2,,
2010-01-01 11:00:00,2010-01-01 12:00:00,,,16.64,76.84,93.48,,2.01,2.2,7.34,10.68,19.02,0.61,0.66,0.61,17.56,61.58,1.06,106.12,410.58,971.94,0.21,,
2010-01-01 12:00:00,2010-01-01 13:00:00,,,15.81,68.97,84.77,,1.73,,9.09,10.41,20.52,1.63,,,19.36,56.36,0.98,107.59,417.18,964.61,0.22,,
2010-01-01 13:00:00,2010-01-01 14:00:00,,,8.16,44.93,53.09,,1.56,,19.81,9.55,18.2,,,,20.83,48.97,0.61,122.95,405.88,962.58,0.22,,
2010-01-01 14:00:00,2010-01-01 15:00:00,,,5.63,31.76,37.39,,3.44,1.62,18.15,5.0,6.46,,0.16,0.24,21.75,44.07,0.62,136.12,422.32,963.83,0.22,,
