From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2015-12-01 00:00:00,2015-12-01 01:00:00,52.97,160.98,,32.87,31.3,21.33,21.37,0.08,75.71,,,,,,20.02,37.52,0.98,,18.07,751.4,0.17
2015-12-01 01:00:00,2015-12-01 02:00:00,50.1,169.15,,50.47,47.08,19.43,13.53,0.24,77.39,,,,,,19.45,39.96,1.07,,17.91,751.55,0.16
2015-12-01 02:00:00,2015-12-01 03:00:00,53.32,181.7,,20.5,22.5,20.38,13.43,0.6,81.67,,,,,,19.08,40.99,1.1,,18.21,751.55,0.16
2015-12-01 03:00:00,2015-12-01 04:00:00,55.84,185.1,,62.8,56.57,18.38,8.58,0.56,77.72,,,,,,18.65,42.07,0.87,,18.04,751.52,0.16
2015-12-01 04:00:00,2015-12-01 05:00:00,65.57,201.0,,4.9,9.13,22.75,3.02,0.76,78.67,,,,,,18.55,40.58,1.04,,18.3,751.57,0.16
2015-12-01 05:00:00,2015-12-01 06:00:00,58.1,197.82,,61.72,54.95,19.5,4.45,0.58,68.6,,,,,,18.26,39.07,0.88,,18.15,751.52,0.16
2015-12-01 06:00:00,2015-12-01 07:00:00,57.01,185.98,,23.97,22.68,18.5,0.49,0.93,55.46,,,,,,17.57,40.31,0.88,,18.15,751.15,0.16
2015-12-01 07:00:00,2015-12-01 08:00:00,63.65,198.77,,45.05,39.82,18.17,2.79,0.74,45.57,,,,,,17.5,40.35,0.95,,31.0,750.55,0.16
2015-12-01 08:00:00,2015-12-01 09:00:00,66.47,204.52,,25.23,27.08,20.25,0.95,1.16,50.18,,0.38,,,,18.46,38.62,1.07,,83.5,750.35,0.16
2015-12-01 09:00:00,2015-12-01 10:00:00,68.23,237.08,,25.85,25.53,18.4,2.98,0.94,50.56,,0.54,,,,19.71,37.1,0.93,,257.54,750.78,0.18
2015-12-01 10:00:00,2015-12-01 11:00:00,63.21,237.33,,57.3,52.15,19.9,1.49,0.72,26.64,,0.99,,,,21.41,34.76,0.91,,414.45,751.92,0.18
2015-12-01 11:00:00,2015-12-01 12:00:00,74.61,232.45,,18.48,17.92,21.1,5.77,0.62,33.78,,0.57,,,,23.46,31.81,0.88,,510.3,753.1,0.18
